timestamp_sec,timestamp_nanosec,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
166,470000000,3.796950807400036e-14,5.54339639826206e-16,0.014592714013249818,0.9998935206799411,-1.419740695383681e-13,2.813049649835396e-17,-6.485368014312004e-30,5.065916910871883e-16,-1.1006562481071383e-14,9.8
166,480000000,3.721346599091902e-14,5.434213200014973e-16,0.014592714013249818,0.9998935206799411,-1.5716491445005393e-13,2.5114451336163643e-17,-6.393257528454009e-30,-2.5769120907798907e-16,7.516596574251495e-15,9.8
166,490000000,3.6295473793726e-14,5.301804409832173e-16,0.014592714013249818,0.9998935206799411,-1.7182387924321936e-13,3.014025012200058e-17,-6.309546449435526e-30,-2.607591669243174e-16,-1.0477921764977793e-14,9.8
166,500000000,3.548058711376504e-14,5.184377086518748e-16,0.014592714013249818,0.9998935206799411,-1.8595732457063815e-13,3.499478017871262e-17,-6.2347115441084404e-30,-2.636977224178172e-16,-2.645135865141127e-14,9.8
166,510000000,3.451157879830093e-14,5.044177342238408e-16,0.014592714013249818,0.9998935206799411,-1.9854463857256897e-13,1.7724928034761038e-17,-6.152722830443696e-30,6.602618101279642e-16,1.0061849360885965e-14,9.8
166,520000000,3.348223644575328e-14,4.895076683078339e-16,0.014592714013249818,0.9998935206799411,-2.1040407832182425e-13,2.5572561202851235e-17,-6.066503901792191e-30,-3.823324271313456e-16,-1.0085003098516744e-14,9.8
166,530000000,3.239485558495717e-14,4.737891643892978e-16,0.014592714013249818,0.9998935206799411,-2.2180951956753224e-13,3.3184176181725387e-17,-5.992693196001429e-30,-6.130333809304928e-17,-2.030239250816006e-14,9.8
166,540000000,3.113863469856936e-14,4.55545532245892e-16,0.014592714013249818,0.9998935206799411,-2.3386951063319105e-13,1.3334643473888737e-17,-5.89790134037365e-30,4.902677246507188e-16,-4.696921635306152e-16,8.90909090909091
166,550000000,3.006898058059832e-14,4.400159107618991e-16,0.014592714013249818,0.9998935206799411,-2.4076435720621076e-13,2.1780737582756633e-17,-5.8208889875611905e-30,-5.585417800870511e-16,-2.383746390521212e-14,10.88888888888889
166,560000000,2.88386338789665e-14,4.2215470073971833e-16,0.014592714013249818,0.9998935206799411,-2.4888202015390655e-13,9.445807298983797e-18,-5.7411537492543935e-30,7.914098860486265e-16,-1.181046287680863e-15,9.8
166,570000000,2.75710029545521e-14,4.037017408183911e-16,0.014592714013249818,0.9998935206799411,-2.5613547237831347e-13,1.4799810111687123e-17,-5.65026023575929e-30,-6.195106781948279e-16,-1.48811196085047e-14,9.8
166,580000000,2.6268277462182824e-14,3.847956251294038e-16,0.014592714013249818,0.9998935206799411,-2.627996420884639e-13,2.0367833494949998e-17,-5.574476744103354e-30,2.6385521608430626e-17,-1.8222224219367956e-14,9.8
166,590000000,2.493671728086109e-14,3.6541483407587324e-16,0.014592714013249818,0.9998935206799411,-2.681248698840493e-13,1.2038210893426411e-17,-5.490843596082324e-30,-4.306480889561078e-17,-1.1000688501132138e-14,9.8
166,600000000,2.34424062757453e-14,3.4371502857735454e-16,0.014592714013249818,0.9998935206799411,-2.7291527548585477e-13,2.032143067635597e-17,-5.415725602722168e-30,-9.080873677769038e-17,-1.8077019064704818e-14,9.8
166,610000000,2.22027724439586e-14,3.2565940071170475e-16,0.014592714013249818,0.9998935206799411,-2.771270248703977e-13,6.594846230813808e-18,-5.344697443306665e-30,3.972956886812793e-16,-8.063340324990294e-15,8.711111111111112
166,620000000,2.080933796121796e-14,3.0540470926444793e-16,0.014592714013249818,0.9998935206799411,-2.7944501043641225e-13,1.7587500335605896e-17,-5.261878538724759e-30,-3.437956264922627e-16,-1.9474532662917642e-14,10.690909090909091
166,630000000,1.9404973819871077e-14,2.849393301010129e-16,0.014592714013249818,0.9998935206799411,-2.812369269954737e-13,-1.5912867685889326e-18,-5.183266117642054e-30,4.174263042060924e-16,-8.378317122373056e-15,9.8
166,640000000,1.7992122175550364e-14,2.643768920714958e-16,0.014592714013249818,0.9998935206799411,-2.8361933492393276e-13,2.0035986600896334e-17,-5.113738449811119e-30,-8.630048188261023e-16,-3.2029016304927926e-14,8.711111111111112
166,650000000,1.6575492806236398e-14,2.437520404376164e-16,0.014592714013249818,0.9998935206799411,-2.8303098607201365e-13,3.3289661823993394e-18,-5.03431474074037e-30,7.070045114267897e-16,-9.069831506616159e-15,10.690909090909091
166,660000000,1.5158334167350564e-14,2.2311856977784965e-16,0.014592714013249818,0.9998935206799411,-2.830831481911447e-13,1.941825937007499e-17,-4.960487494569927e-30,-7.628671330934433e-16,-2.4945140338883034e-14,9.8
166,671000000,1.3604000138070567e-14,2.0049082834355108e-16,0.014592714013249818,0.9998935206799411,-2.8225011580989945e-13,2.755289906188e-18,-4.883667636732704e-30,4.836167967510408e-16,-1.0021188985357301e-14,8.90909090909091
166,681000000,1.2198560937360028e-14,1.80020347528425e-16,0.014592714013249818,0.9998935206799411,-2.805616220273627e-13,1.397027515412415e-17,-4.812289286728547e-30,-5.320214921197172e-16,-2.7434837511898982e-14,9.8
166,691000000,1.0804833520706917e-14,1.5972146520009012e-16,0.014592714013249818,0.9998935206799411,-2.7778495887204666e-13,2.7439778411328355e-18,-4.743557211430117e-30,4.163226587052666e-16,-1.0354659889568758e-14,9.8
166,701000000,9.425190159763505e-15,1.3963396346758192e-16,0.014592714013249818,0.9998935206799411,-2.747215165951372e-13,1.6584334512738737e-17,-4.675115989465949e-30,-6.478048468605179e-16,-2.6260535355316424e-14,9.8
166,711000000,8.064007805756591e-15,1.1982968437110808e-16,0.014592714013249818,0.9998935206799411,-2.706150811132255e-13,7.973556675122624e-18,-4.609877018170088e-30,3.001545603723912e-16,-8.54240096146423e-15,9.8
166,721000000,6.723434678114171e-15,1.0029625357883695e-16,0.014592714013249818,0.9998935206799411,-2.6626659757013407e-13,8.24830795598132e-18,-4.543282558205708e-30,-7.006295411228482e-17,-2.3702672222565266e-14,9.8
166,731000000,5.407629214805279e-15,8.111985077650323e-17,0.014592714013249818,0.9998935206799411,-2.6091799455031094e-13,2.515246520387358e-18,-4.477556288568816e-30,1.849760924665817e-16,-5.07481658644479e-15,9.8
166,741000000,4.118395107330758e-15,6.230705817423947e-17,0.014592714013249818,0.9998935206799411,-2.556310522843792e-13,5.113410494157435e-18,-4.411423621261252e-30,-1.61872490728059e-16,-3.033637059914446e-14,9.8
166,751000000,2.858656715317103e-15,4.393989917751757e-17,0.014592714013249818,0.9998935206799411,-2.4911691578336923e-13,2.0670177173562224e-18,-4.346682721714283e-30,7.053511927186068e-17,4.981405978679217e-16,9.8
166,761000000,1.6312040067651789e-15,2.6029098021279157e-17,0.014592714013249818,0.9998935206799411,-2.427054436928612e-13,-8.32589440625026e-19,-4.282302832131532e-30,7.047686191006111e-17,-2.3562493599586304e-14,9.8
166,771000000,4.3759736573150084e-16,8.602386786865602e-18,0.014592714013249818,0.9998935206799411,-2.361160200356069e-13,-1.4701617696650527e-18,-4.22479672368996e-30,-2.2911515143390763e-17,-2.8101899800433132e-15,10.88888888888889
166,781000000,-7.185017161708144e-16,-8.277716243561831e-18,0.014592714013249818,0.9998935206799411,-2.2789706889813096e-13,-1.5812134803250364e-18,-4.1551777129023294e-30,-3.934352944840733e-17,-1.2803183360792573e-14,8.90909090909091
166,791000000,-1.8375414533923248e-15,-2.4617182893631434e-17,0.014592714013249818,0.9998935206799411,-2.2031326277831827e-13,-1.1400808313704897e-18,-4.0925228358739235e-30,-6.593113610568146e-17,-2.4911391967315e-14,9.8
166,801000000,-2.915969157575434e-15,-4.0355465748341004e-17,0.014592714013249818,0.9998935206799411,-2.1184894127443167e-13,1.3687719962575697e-18,-4.030288040240236e-30,-1.5717487774407185e-16,-1.6203196457756447e-15,9.8
166,811000000,-3.952572198263961e-15,-5.547114486839477e-17,0.014592714013249818,0.9998935206799411,-2.035635562813276e-13,3.753760234670959e-18,-3.968283086375202e-30,-1.5742540700626647e-16,-2.1939899202383987e-14,9.8
166,821000000,-4.9470732376177374e-15,-6.999047745487836e-17,0.014592714013249818,0.9998935206799411,-1.9467760853798116e-13,-8.41029080733013e-18,-3.9072307475991826e-30,4.678483992367815e-16,-8.131566583997295e-15,9.8
166,831000000,-5.98803454837608e-15,-8.521268413179896e-17,0.014592714013249818,0.9998935206799411,-1.8547856003066833e-13,-3.0413911188732645e-18,-3.847674171623839e-30,-2.7077100569764154e-16,-6.3010872694179316e-15,9.8
166,841000000,-6.798779623573447e-15,-9.704545198641537e-17,0.014592714013249818,0.9998935206799411,-1.7649239664669528e-13,2.1884938323198217e-18,-3.787290882031092e-30,-2.707604826627568e-16,-2.219338309769999e-14,9.8
166,851000000,-7.656416651242041e-15,-1.0957257684647352e-16,0.014592714013249818,0.9998935206799411,-1.6693888216377849e-13,-1.545898385663274e-17,-3.727278348040101e-30,7.014126038629351e-16,-5.71235633033197e-15,9.8
166,861000000,-8.464858267262661e-15,-1.2142775993430775e-16,0.014592714013249818,0.9998935206799411,-1.5710403241270394e-13,-7.214953124445597e-18,-3.67102517812789e-30,-3.83485738986876e-16,6.86111411633724e-16,9.8
166,871000000,-9.224803300428628e-15,-1.325345596123271e-16,0.014592714013249818,0.9998935206799411,-1.4751313941707373e-13,8.06547694084176e-19,-3.6123652007165404e-30,-3.8317299161116017e-16,-1.4210401972868701e-14,9.8
166,881000000,-9.937464424840566e-15,-1.429117784161929e-16,0.014592714013249818,0.9998935206799411,-1.381636533375238e-13,8.608555303489995e-18,-3.55120730884027e-30,-3.8363449580308374e-16,-2.8180040754382892e-14,9.8
166,891000000,-1.0600803369269377e-14,-1.5262532225829926e-16,0.014592714013249818,0.9998935206799411,-1.2776259276795353e-13,-2.1505106993454192e-17,-3.493543139947394e-30,1.2369485473963212e-15,1.4304631410552402e-14,9.8
166,901000000,-1.12128903351276e-14,-1.6167419312547123e-16,0.014592714013249818,0.9998935206799411,-1.1763316747263498e-13,-1.8382268252621326e-17,-3.444361049632349e-30,-1.4796759870134972e-16,2.3469147743082747e-15,9.8
166,911000000,-1.1775076914061123e-14,-1.6994309178065694e-16,0.014592714013249818,0.9998935206799411,-1.0777270888032357e-13,-7.366641317946732e-18,-3.3911081760766145e-30,-4.935064037106564e-16,-8.663009288339508e-15,9.8
166,921000000,-1.2337572183591155e-14,-1.7816063588253637e-16,0.014592714013249818,0.9998935206799411,-9.81779362543098e-14,3.325669406491808e-18,-3.333120412477928e-30,-4.933430082849161e-16,-1.968909300540792e-14,9.8
166,931000000,-1.2755075781519074e-14,-1.842127790958199e-16,0.014592714013249818,0.9998935206799411,-8.884524121012461e-14,1.3717366142471982e-17,-3.270450318437227e-30,-4.941468399348797e-16,-2.7873023214033795e-14,9.8
166,941000000,-1.3172268677338427e-14,-1.9030208884656044e-16,0.014592714013249818,0.9998935206799411,-8.015784999167018e-14,-8.38277584523137e-18,-3.2157849900482675e-30,1.2509008679231585e-15,2.1596260434913452e-14,10.88888888888889
166,951000000,-1.3538444544909759e-14,-1.9578254701207115e-16,0.014592714013249818,0.9998935206799411,-6.84072086758029e-14,-4.063074520910464e-17,-3.165848529953573e-30,1.0258942991754745e-15,1.1144349171671844e-14,8.90909090909091
166,961000000,-1.3855047107122533e-14,-2.0065505728420916e-16,0.014592714013249818,0.9998935206799411,-5.862015962728136e-14,-5.038370782718673e-17,-3.1342586883886116e-30,4.398271182145723e-16,6.0728902981107285e-15,9.8
166,971000000,-1.4123496084657996e-14,-2.0478782574633005e-16,0.014592714013249818,0.9998935206799411,-4.91148182591164e-14,-3.5776358448383595e-17,-3.0998819798018533e-30,-5.963510684223884e-16,8.410425009101415e-16,9.8
166,981000000,-1.4345190538522724e-14,-2.0816628219054053e-16,0.014592714013249818,0.9998935206799411,-3.988739715921173e-14,-2.155309297885638e-17,-3.057618737021942e-30,-5.935487987024683e-16,-3.504672416328678e-15,9.8
166,991000000,-1.4521507359168876e-14,-2.1081245484142946e-16,0.014592714013249818,0.9998935206799411,-3.093333064401358e-14,-7.726560810614196e-18,-3.0077836734791787e-30,-5.921189797058019e-16,-6.960870979606018e-15,9.8
167,1000000,-1.4653800487648858e-14,-2.127480018260311e-16,0.014592714013249818,0.9998935206799411,-2.2248008982346462e-14,5.726202980708012e-18,-2.9506867199576845e-30,-5.920244077644551e-16,-9.55409380247789e-15,9.8
167,11000000,-1.4743400713325292e-14,-2.139942432183465e-16,0.014592714013249818,0.9998935206799411,-1.3826785055906176e-14,1.8810752661309302e-17,-2.8866342943766638e-30,-5.932278825630698e-16,-1.1310427677009274e-14,9.8
167,21000000,-1.4791615505245943e-14,-2.1457211378919016e-16,0.014592714013249818,0.9998935206799411,-5.664980730675605e-15,3.1514776308044776e-17,-2.8159241580910337e-30,-5.956930849135825e-16,-1.2255502255559586e-14,9.8
167,31000000,-1.479972887382283e-14,-2.1450216918186561e-16,0.014592714013249818,0.9998935206799411,2.242107052831449e-15,4.386154396922237e-17,-2.738849625486079e-30,-5.993844161627221e-16,-1.2414487341749262e-14,9.8
167,41000000,-1.4769001261811045e-14,-2.1380461947607667e-16,0.014592714013249818,0.9998935206799411,9.899200462709232e-15,5.585688397307513e-17,-2.655700744978476e-30,-6.042663092274635e-16,-1.1812090763470936e-14,9.8
167,51000000,-1.470066946479925e-14,-2.1249928339022453e-16,0.014592714013249818,0.9998935206799411,1.7311035224500215e-14,6.748872864724339e-17,-2.566759070292658e-30,-6.103041033933374e-16,-1.0472556801570653e-14,9.8
167,61000000,-1.4595946577967178e-14,-2.1060559584444677e-16,0.014592714013249818,0.9998935206799411,2.4482355328176416e-14,7.878056369822994e-17,-2.4723019141560973e-30,-6.174638808663871e-16,-8.419665148569652e-15,9.8
167,71000000,-1.4456021968219684e-14,-2.0814264284863045e-16,0.014592714013249818,0.9998935206799411,3.1417907985815055e-14,8.973840570690816e-17,-2.3726034317037054e-30,-6.257117750707732e-16,-5.676730372527486e-15,9.8
167,81000000,-1.428206127202187e-14,-2.0512911696734852e-16,0.014592714013249818,0.9998935206799411,3.812243883264252e-14,1.0035034900379961e-16,-2.267929441863126e-30,-6.350148428238905e-16,-2.266601861878097e-15,9.8
167,91000000,-1.4075206415801242e-14,-2.0158332608584466e-16,0.014592714013249818,0.9998935206799411,4.4600687364240446e-14,1.1064001617348646e-16,-2.1585416327705144e-30,-6.453408983767264e-16,1.7883357722240065e-15,9.8
167,101000000,-1.3836575658135398e-14,-1.9752322944304254e-16,0.014592714013249818,0.9998935206799411,5.085738260282899e-14,1.206135366446366e-16,-2.044698538593613e-30,-6.566578193084793e-16,6.46616185880621e-15,9.8
167,111000000,-1.3567264587293353e-14,-1.9303134180673605e-16,0.014592714013249818,0.9998935206799411,5.689630271508504e-14,9.78741370869121e-17,-1.9319823957656594e-30,7.195258878249322e-16,1.1704882948640461e-14,9.8
167,121000000,-1.3268346148554421e-14,-1.882557461368317e-16,0.014592714013249818,0.9998935206799411,6.272289828189329e-14,6.775911373808554e-17,-1.8359320170593092e-30,1.0582269259392994e-15,1.7554301757960416e-14,9.8
167,131000000,-1.2940867915208154e-14,-1.8321168257288137e-16,0.014592714013249818,0.9998935206799411,6.83420813407924e-14,3.8460390907646167e-17,-1.7562548145867176e-30,1.053038212633475e-15,2.397363437512897e-14,9.8
167,141000000,-1.2586375203195918e-14,-1.7790236945057858e-16,0.014592714013249818,0.9998935206799411,7.323794368096899e-14,2.518589595996096e-17,-1.6910417600846037e-30,4.024000869606203e-16,8.727466528429464e-15,9.8
167,151000000,-1.2210627857208391e-14,-1.7226884375903068e-16,0.014592714013249818,0.9998935206799411,7.71805950002237e-14,3.477692476868834e-17,-1.6259141611635844e-30,-5.725015776568875e-16,-1.7199563986584084e-14,9.8
167,161000000,-1.1775202139150891e-14,-1.656952045967115e-16,0.014592714013249818,0.9998935206799411,8.096604927693418e-14,4.409069101025212e-17,-1.5565794294673957e-30,-5.767919437269385e-16,-8.664248469979273e-15,9.8
167,171000000,-1.1402078359593857e-14,-1.6002899839573057e-16,0.014592714013249818,0.9998935206799411,8.459829075279656e-14,5.3114381163566867e-17,-1.4833922276384165e-30,-5.811179432342801e-16,-1.3501804655998247e-15,9.8
167,181000000,-1.0970806228563066e-14,-1.5344767891390691e-16,0.014592714013249818,0.9998935206799411,8.808125867913768e-14,6.190479392705313e-17,-1.40671507602052e-30,-5.867468248469869e-16,7.10373561049893e-15,9.8
167,191000000,-1.0522523621492844e-14,-1.4661144977598953e-16,0.014592714013249818,0.9998935206799411,9.141813992466488e-14,4.6098868495622637e-17,-1.3289608210605332e-30,4.478846848773937e-16,1.586072047099226e-14,9.8
167,201000000,-1.0057948834889329e-14,-1.3967997490130905e-16,0.014592714013249818,0.9998935206799411,9.37766916982357e-14,2.08243056455888e-17,-1.2697284178459913e-30,1.2650138745577406e-15,2.771905549090522e-14,10.88888888888889
167,211000000,-9.578949180639872e-15,-1.3265822017328204e-16,0.014592714013249818,0.9998935206799411,9.689168311117531e-14,6.963819364606187e-18,-1.2083234068121962e-30,1.5085124195207935e-16,9.49132944629345e-16,8.90909090909091
167,221000000,-9.041782042417229e-15,-1.2475820068300024e-16,0.014592714013249818,0.9998935206799411,9.854667820032343e-14,1.4375171146074015e-17,-1.1530452571330053e-30,-4.832261706267958e-16,-1.0621343107870179e-14,9.8
167,231000000,-8.594904928755308e-15,-1.181536903563602e-16,0.014592714013249818,0.9998935206799411,1.0010767463659013e-13,2.158358315678744e-17,-1.0957412565782483e-30,-4.848462510438654e-16,-1.8615953067365355e-15,9.8
167,241000000,-8.091323544690171e-15,-1.1067898138196758e-16,0.014592714013249818,0.9998935206799411,1.0104229997524589e-13,2.7101255223344624e-17,-1.0425198082327162e-30,-5.414466805677666e-16,8.899651938406502e-15,10.88888888888889
167,251000000,-7.580636332141525e-15,-1.0308234661309373e-16,0.014592714013249818,0.9998935206799411,1.0295941501052727e-13,1.9135806969600414e-17,-9.766794385252224e-31,1.8498090061847872e-16,1.636364888608408e-14,8.90909090909091
167,261000000,-7.0632768181825154e-15,-9.551977060483147e-17,0.014592714013249818,0.9998935206799411,1.0425544607459171e-13,-1.411017375465814e-17,-9.245917999101177e-31,1.243632800752098e-15,2.8110969594763575e-14,9.8
167,271000000,-6.542900074270832e-15,-8.798238582267665e-17,0.014592714013249818,0.9998935206799411,1.0417912637468867e-13,-8.745655077411697e-18,-8.784185189755233e-31,-3.7519171403890815e-16,-1.7176085757865917e-14,9.8
167,291000000,-5.503853705823381e-15,-7.285389552518153e-17,0.014592714013249818,0.9998935206799411,1.0390083671918078e-13,1.5531675909093338e-18,-7.849070370020491e-31,-3.744934233664637e-16,3.1913815878223234e-15,9.8
167,301000000,-4.933882879536589e-15,-6.451229132585314e-17,0.014592714013249818,0.9998935206799411,1.0370319835222847e-13,6.509322940265347e-18,-7.378924047608756e-31,-3.7495000001735327e-16,1.43640060991972e-14,9.8
167,311000000,-4.468410131277004e-15,-5.77144394989794e-17,0.014592714013249818,0.9998935206799411,1.0346863413271226e-13,-1.3045906271536132e-17,-6.918041251860774e-31,6.653503008690254e-16,2.3457870874698148e-14,9.8
167,321000000,-3.9530211664254175e-15,-5.033034998077571e-17,0.014592714013249818,0.9998935206799411,1.0267887092455944e-13,-3.279061011705431e-17,-6.51896766445725e-31,7.136638493953718e-16,1.134527791325153e-14,9.8
167,331000000,-3.4443448549805457e-15,-4.3062284166188443e-17,0.014592714013249818,0.9998935206799411,1.0110181674868174e-13,-2.9556467232685485e-17,-6.141792724914304e-31,-2.55251420568052e-16,-1.1976154794260262e-14,9.8
167,351000000,-2.4505647720131486e-15,-2.882173295346766e-17,0.014592714013249818,0.9998935206799411,9.827909629094352e-14,-2.376906796395509e-17,-5.48153362455323e-31,-2.5009831294384043e-16,7.503933860669549e-15,9.8
167,361000000,-1.9653880031148872e-15,-2.1849028663182606e-17,0.014592714013249818,0.9998935206799411,9.641160309320532e-14,-2.013720464715147e-17,-5.056982435703619e-31,-2.4797986668237956e-16,1.701438028306354e-14,9.8
167,381000000,-1.0202747522599031e-15,-8.363719018659216e-18,0.014592714013249818,0.9998935206799411,9.22989799535385e-14,-4.005730334448112e-17,-4.392951750522025e-31,1.9608415530567247e-16,-8.900146137480344e-15,9.8
167,391000000,-5.665069482392728e-16,-1.938975602384716e-18,0.014592714013249818,0.9998935206799411,8.951292817210617e-14,-3.909782498581429e-17,-4.086394221496791e-31,-1.2403085291563573e-16,-1.1102908468868773e-14,9.8
167,401000000,-1.265342375623869e-16,4.2892127641558414e-18,0.014592714013249818,0.9998935206799411,8.704710381938286e-14,-3.8241703064409167e-17,-3.821470169635933e-31,-1.3361176252140127e-16,-2.753977990378796e-15,10.88888888888889
167,421000000,7.53593659527381e-16,1.674430126914633e-17,0.014592714013249818,0.9998935206799411,8.118684159032973e-14,-3.618082327826589e-17,-3.2155721718905625e-31,-1.2285012566875384e-16,1.6116711424209867e-14,10.690909090909091
167,441000000,1.5001781063637737e-15,2.72926645728134e-17,0.014592714013249818,0.9998935206799411,7.605654831096173e-14,-4.3086081284551113e-17,-2.736548405999424e-31,2.6380249413321784e-16,1.8290415023577795e-14,9.8
167,451000000,1.870335399184236e-15,3.2475965116186527e-17,0.014592714013249818,0.9998935206799411,7.228177893776627e-14,-4.457069955100929e-17,-2.4970642477426846e-31,1.2527411441928035e-17,-1.887417345927411e-14,9.8
167,461000000,2.22185801326308e-15,3.737973247211232e-17,0.014592714013249818,0.9998935206799411,6.908895119443699e-14,-4.567938620758186e-17,-2.29177500701361e-31,1.88503526004525e-17,-1.3315179208188273e-14,10.88888888888889
167,481000000,2.870711720013732e-15,4.6375087109262074e-17,0.014592714013249818,0.9998935206799411,6.147173280237618e-14,-4.8806389715536814e-17,-1.8432299116880013e-31,2.6258456658849142e-17,7.350900368119597e-16,9.8
167,491000000,3.1688908856318405e-15,5.047964243426329e-17,0.014592714013249818,0.9998935206799411,5.803761429084057e-14,-5.0157485112112586e-17,-1.6440445781049443e-31,3.1102106929984757e-17,6.5799533579959945e-15,9.8
167,501000000,3.450131012631402e-15,5.433054671938823e-17,0.014592714013249818,0.9998935206799411,5.46868901983491e-14,-5.139361699812706e-17,-1.4529242554870663e-31,3.6071931908417094e-17,1.2092774325380998e-14,9.8
167,511000000,3.714846835637096e-15,5.793440656129277e-17,0.014592714013249818,0.9998935206799411,5.141875944095436e-14,-5.2536898597999745e-17,-1.2692441986389175e-31,4.115707732150237e-17,1.728168276166202e-14,9.8
167,531000000,4.196343734548881e-15,6.442511895681696e-17,0.014592714013249818,0.9998935206799411,4.512686851289548e-14,-5.480926997403408e-17,-9.213981501764165e-32,5.166905271551501e-17,2.6719873554220543e-14,9.8
167,541000000,4.412762753499725e-15,6.734158271727539e-17,0.014592714013249818,0.9998935206799411,4.132269534430117e-14,-3.309481473386203e-17,-7.641397673482824e-32,-9.155545096752706e-16,-2.3304367797733396e-15,9.8
167,551000000,4.608371013677282e-15,7.005662453180287e-17,0.014592714013249818,0.9998935206799411,3.7106902430611017e-14,-2.9397794201352336e-17,-6.533699852921514e-32,-1.7360628384851931e-16,-2.073164890262969e-14,9.8
167,561000000,4.7832167583755944e-15,7.245065175679838e-17,0.014592714013249818,0.9998935206799411,3.300520106907934e-14,-3.377728530868938e-17,-5.442395316248574e-32,1.762816015820337e-16,-1.7314477126979733e-14,9.8
167,581000000,5.072881574085029e-15,7.629871476048785e-17,0.014592714013249818,0.9998935206799411,2.513844259448532e-14,-4.2126435125629804e-17,-3.2042157708697855e-32,1.837167155775411e-16,-1.1636550655817031e-14,9.8
167,591000000,5.188811041651444e-15,7.777031855325106e-17,0.014592714013249818,0.9998935206799411,2.1370130888603194e-14,-4.6119176750432304e-17,-2.0505467199659317e-32,1.8803417356039704e-16,-9.364154131708123e-15,9.8
167,611000000,5.365578181917809e-15,7.985126678610365e-17,0.014592714013249818,0.9998935206799411,1.415530056248671e-14,-5.371538835807155e-17,3.418514014622534e-33,1.978103726913661e-16,-5.899291907591691e-15,9.8
167,621000000,5.4327898887170744e-15,8.05263461938041e-17,0.014592714013249818,0.9998935206799411,1.062768658459217e-14,-5.7160296364585e-17,1.7120871673510894e-32,2.223315589249972e-16,-4.998425062343769e-15,10.690909090909091
167,631000000,5.472409761214437e-15,8.083813164294582e-17,0.014592714013249818,0.9998935206799411,7.358139919986053e-15,-6.083937237486623e-17,2.863355790299203e-32,1.858004886137295e-16,-3.382518799997193e-15,8.711111111111112
167,641000000,5.500887470318633e-15,8.09414433079613e-17,0.014592714013249818,0.9998935206799411,4.6936107343273636e-15,-6.33617919640666e-17,4.041386873957938e-32,2.390510790392824e-16,-3.608000483854681e-15,10.88888888888889
167,651000000,5.513409129759818e-15,8.079533479336172e-17,0.014592714013249818,0.9998935206799411,9.64734123683017e-16,-6.750807124381532e-17,5.530320398196012e-32,2.0144618454515044e-16,-2.728948938732731e-15,8.90909090909091
167,661000000,5.510465715351307e-15,8.04074988574653e-17,0.014592714013249818,0.9998935206799411,-2.0849693323884343e-15,-7.063193076303466e-17,6.921651439400132e-32,2.283497107998598e-16,-3.0596395398689736e-15,9.8
